ADT FN16/2021^,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,02/08/2021,19/07/2021,02/08/2020,01/01/2020,18/05/2021,,,,16/08/2020,16/08/2015,,
,,,,,,,,,,,15/08/2021,01/08/2021,15/08/2020,15/08/2021,15/08/2021,,,,15/08/2021,15/08/2020,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 2 , -   , -   , -   , 1 , 3 , 2 , 3 , 61 , 26 , 37.8 , 0.7 , -   , 100 , 150.8 , 0.7 , -   
,Hepatitis B (unspecified),052, 3 , 45 , -   , 43 , 2 , 1 , 54 , 18 , 166 , 161 , 199 ," 2,882 "," 1,106 "," 1,453.8 ", 0.8 , -   ," 4,692 "," 5,846.4 ", 0.8 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 25 , -   , -   , -   , 1 , 26 , 25 , 21 , 465 , 179 , 166.8 , 1.1 , -   , 707 , 711.0 , 1.0 , -   
,Hepatitis C (unspecified),053, 3 , 71 , 3 , 55 , 1 , 8 , 52 , 25 , 218 , 290 , 273 ," 4,425 "," 1,739 "," 2,260.6 ", 0.8 , -   ," 7,179 "," 9,598.4 ", 0.7 , -   
,Hepatitis D,050, -   , 2 , -   , -   , -   , -   , -   , -   , 2 , 5 , 5 , 52 , 22 , 18.0 , 1.2 , -   , 83 , 69.2 , 1.2 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 1 , 0.2 , 5.0 , -   , 3 , 1.0 , 3.0 , -   
,Campylobacteriosis,005, 27 , 312 , 14 , 342 , 134 , 33 , 228 , 108 ," 1,198 "," 1,319 "," 1,106 "," 22,740 "," 8,241 "," 6,690.6 ", 1.2 , -   ," 36,110 "," 30,073.0 ", 1.2 , -   
,Cryptosporidiosis,061, -   , 11 , 2 , 20 , 3 , 1 , 20 , 4 , 61 , 82 , 21 ," 1,253 ", 481 , 596.6 , 0.8 , -   ," 1,713 "," 3,833.2 ", 0.4 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 4 , -   , 4.0 , -   , -   , 6 , 16.6 , 0.4 , -   
,Hepatitis A,038, -   , -   , -   , 5 , -   , -   , -   , -   , 5 , 4 , -   , 20 , 15 , 40.0 , 0.4 , -   , 26 , 235.8 , 0.1 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 10 , 6 , 8.6 , 0.7 , -   , 13 , 47.2 , 0.3 , -   
,Listeriosis,018, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 3 , 1 , 28 , 11 , 10.6 , 1.0 , -   , 49 , 66.8 , 0.7 , -   
,Paratyphoid,080, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 3 , 10.6 , 0.3 , -   , 3 , 82.4 , 0.0 , -   
,Salmonellosis,030, 2 , 55 , 8 , 60 , 12 , 6 , 33 , 13 , 189 , 226 , 198 ," 7,377 "," 1,786 "," 2,819.6 ", 0.6 , -   ," 10,463 "," 15,471.0 ", 0.7 , -   
,Shigellosis,031, -   , -   , 6 , 3 , 3 , -   , 1 , 6 , 19 , 16 , 34 , 293 , 105 , 455.6 , 0.2 , -   , 559 ," 2,106.8 ", 0.3 , -   
,STEC,054, -   , 4 , -   , -   , 6 , -   , -   , 7 , 17 , 15 , 17 , 363 , 115 , 96.4 , 1.2 , -   , 559 , 495.8 , 1.1 , -   
,Typhoid Fever,035, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 , -   , 8 , 3 , 20.2 , 0.1 , -   , 17 , 148.8 , 0.1 , -   
Quarantinable diseases,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , 1.2 , -   , -   
,COVID-19,081, 23 ," 4,605 ", 2 , 124 , 5 , 1 , 225 , 4 ," 4,989 "," 2,637 "," 5,545 "," 11,430 "," 9,713 "," 3,205.6 ", 3.0 , -   ," 16,707 "," 4,708.6 ", 3.5 , -   
Sexually transmissible infections,Chlamydial infection,007, 59 , 766 , 64 , 733 , 209 , 67 , 383 , 418 ," 2,699 "," 3,064 "," 3,235 "," 51,935 "," 19,473 "," 24,411.0 ", 0.8 , -   ," 84,140 "," 100,377.8 ", 0.8 , -   
,Donovanosis,010, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Gonococcal infection,011, 14 , 220 , 41 , 211 , 56 , 4 , 158 , 128 , 832 , 932 , 993 ," 17,228 "," 6,509 "," 7,121.6 ", 0.9 , -   ," 27,161 "," 28,752.2 ", 0.9 , -   
,Syphilis < 2 years,066, -   , 22 , 7 , 39 , 13 , -   , 52 , 33 , 166 , 200 , 202 ," 3,471 "," 1,330 "," 1,180.2 ", 1.1 , -   ," 5,394 "," 4,657.0 ", 1.2 , -   
,Syphilis > 2 years or unspecified duration,067, -   , 1 , 3 , 3 , 1 , -   , 22 , 7 , 37 , 51 , 87 ," 1,095 ", 359 , 544.6 , 0.7 , -   ," 1,837 "," 2,181.0 ", 0.8 , -   
,Syphilis congenital ,047, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 10 , 2 , 2.0 , 1.0 , -   , 18 , 7.8 , 2.3 , 4.0 
Vaccine preventable diseases,Diphtheria,009, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 3 , 1.6 , 1.9 , 0.3 , 8 , 8.2 , 1.0 , -   
,Haemophilus influenzae type b,012, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 13 , 6 , 5.8 , 1.0 , -   , 21 , 18.8 , 1.1 , -   
,Influenza (laboratory confirmed),062, 1 , 3 , 8 , 4 , 3 , 5 , 3 , -   , 27 , 28 , 73 , 484 , 205 ," 55,660.4 ", 0.0 , -   , 790 ," 160,943.8 ", 0.0 , -   
,Measles,021, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 13.8 , -   , -   , -   , 123.6 , -   , -   
,Mumps,043, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 2 , 1 , 13 , 3 , 130.2 , 0.0 , -   , 33 , 596.4 , 0.1 , -   
,Pertussis,024, -   , 2 , -   , 6 , -   , -   , 13 , 3 , 24 , 22 , 33 , 373 , 153 ," 2,434.4 ", 0.1 , -   , 580 ," 14,532.4 ", 0.0 , -   
,Pneumococcal disease (invasive),065, -   , 15 , -   , 19 , 1 , 3 , 9 , 8 , 55 , 71 , 64 , 917 , 503 , 598.0 , 0.8 , -   ," 1,339 "," 1,845.0 ", 0.7 , -   
,Poliovirus infection,026, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rotavirus,077, -   , 5 , 5 , 15 , 9 , -   , 3 , 12 , 49 , 58 , 40 , 802 , 363 , 869.8 , 0.4 , -   ," 1,199 "," 4,600.2 ", 0.3 , -   
,Rubella,029, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 3.2 , -   , -   , 2 , 12.8 , 0.2 , -   
,Rubella congenital,046, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , 0.2 , -   , -   
,Tetanus,033, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , 1.0 , -   , -   , 6 , 4.0 , 1.5 , -   
,Varicella zoster (chickenpox),073, 5 , -   , -   , 1 , 11 , 1 , 14 , 16 , 48 , 59 , 98 ," 1,278 ", 492 , 861.8 , 0.6 , -   ," 2,542 "," 3,595.4 ", 0.7 , -   
,Varicella zoster (shingles),074, 20 , -   , 11 , 2 , 98 , 12 , 85 , 86 , 314 , 306 , 601 ," 6,640 "," 2,129 "," 3,004.6 ", 0.7 , -   ," 12,482 "," 11,741.6 ", 1.1 , -   
,Varicella zoster (unspecified),075, 4 , -   , 3 , 325 , 52 , 21 , 295 , 104 , 804 , 869 , 528 ," 12,071 "," 5,285 "," 3,544.8 ", 1.5 , 96.0 ," 17,497 "," 14,079.2 ", 1.2 , -   
Vectorborne diseases,Barmah Forest virus infection,048, -   , 3 , -   , 6 , -   , -   , -   , 1 , 10 , 13 , 27 , 265 , 84 , 118.4 , 0.7 , -   , 469 , 408.2 , 1.1 , -   
,Chikungunya virus infection,078, -   , -   , -   , -   , -   , -   , NN , -   , -   , -   , 1 , 2 , -   , 13.8 , -   , -   , 2 , 79.8 , 0.0 , -   
,Dengue virus infection,003, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 1 , 286.6 , 0.0 , -   , 3 ," 1,291.2 ", 0.0 , -   
,Flavivirus infection (unspecified),001, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 3 , 1 , 8.0 , 0.1 , -   , 8 , 32.6 , 0.2 , -   
,Japanese encephalitis virus infection,059, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 0.6 , 1.7 , -   , 1 , 1.2 , 0.8 , -   
,Malaria,020, -   , NN , -   , -   , -   , -   , -   , -   , -   , 6 , -   , 28 , 14 , 74.0 , 0.2 , -   , 48 , 340.6 , 0.1 , -   
,Murray Valley encephalitis virus infection,049, -   , NN , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   ,  , 1.0 , 1 , 0.2 , 5.0 , -   
,Ross River virus infection,002, -   , NN , 2 , 18 , -   , -   , 7 , 8 , 48 , 49 , 60 ," 2,762 ", 673 ," 1,033.8 ", 0.7 , -   ," 3,662 "," 4,724.6 ", 0.8 , -   
,West Nile/Kunjin virus infection,060, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.6 , -   , -   , -   , 1.6 , -   , -   
Zoonoses,Anthrax,058, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Australian bat lyssavirus infection,063, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Brucellosis,004, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 12 , 6 , 4.8 , 1.3 , -   , 17 , 19.4 , 0.9 , -   
,Leptospirosis,017, -   , 2 , 1 , 1 , -   , -   , -   , -   , 4 , 2 , -   , 203 , 55 , 36.2 , 1.5 , -   , 232 , 118.2 , 2.0 , 45.9 
,Ornithosis,023, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 16 , 6 , 6.8 , 0.9 , -   , 51 , 23.0 , 2.2 , 6.2 
,Q fever,027, -   , 2 , -   , 5 , 1 , -   , -   , -   , 8 , 15 , 13 , 330 , 111 , 121.6 , 0.9 , -   , 474 , 540.8 , 0.9 , -   
,Tularaemia,070, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.2 , -   , -   , -   , 0.4 , -   , -   
Other notifiable diseases,iGAS,082, -   , -   , -   , 25 , -   , -   , -   , -   , 25 , 13 , -   , 64 , 62 , -   ,  , 62.0 , 64 , -   ,  , 64.0 
,Legionellosis,015, -   , 1 , -   , -   , -   , 1 , 4 , 1 , 7 , 13 , 11 , 329 , 93 , 93.0 , 1.0 , -   , 531 , 421.0 , 1.3 , -   
,Leprosy,016, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , 1 , 6 , 4 , 2.8 , 1.4 , -   , 9 , 11.0 , 0.8 , -   
,Meningococcal disease (invasive),022, -   , 1 , -   , -   , -   , -   , 1 , -   , 2 , 1 , 4 , 45 , 16 , 62.2 , 0.3 , -   , 73 , 252.8 , 0.3 , -   
,RSV,083, -   , -   , -   , 54 , -   , -   , -   , -   , 54 , 87 , -   , 234 , 234 , -   ,  , 234.0 , 234 , -   ,  , 234.0 
,Tuberculosis,034, 1 , 19 , 1 , 10 , -   , -   , 16 , 4 , 51 , 47 , 58 , 908 , 357 , 351.6 , 1.0 , -   ," 1,587 "," 1,445.4 ", 1.1 , -   
,,, 162 ," 6,168 ", 181 ," 2,157 ", 620 , 164 ," 1,678 "," 1,018 "," 12,161 "," 10,699 "," 13,559 "," 152,965 "," 62,086 ",,,," 241,504 ",,,
"Footnotes:                    
* Ratio of the 90 day prior surveillance period to the past 90 day 5 year rolling mean, or ratio of the year period prior surveillance period to the year period 5 year rolling mean.                   
NN = Not Notifiable, NEC = Not Elsewhere Classified
^ Diseases which have had no notifications in the previous five years have not been included in this report.",,,,,,,,,,,,,,,,,,,,,,
"The data in this report are reliant on the provision of data from states and territories to the Australian Government Department of Health. Backlogs in notifications at the state or territory level may contribute to delays in reporting to the NNDSS. Notifications for some high volume conditions are only uploaded quarterly by some jurisdictions, which can result in apparent large variability over time. The NNDSS is a dynamic dataset, with data in this report representing data available on (17/08/2021). Data in this report are subject to retrospective revision and may vary from data reported in published NNDSS reports and reports of notification data by states and territories.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
